index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
0,38,student,married,basic.4y,yes,no,no,cellular,nov,mon,2345,44,999,2,nonexistent,-3.3834926466710935,94.67509920995512,-44.77308623198797,1.771629590106349,5228.1
1,50,admin.,unknown,professional.course,yes,yes,yes,telephone,jun,fri,1587,24,999,1,nonexistent,1.3871450468138442,94.45478104597684,-39.26955492762919,4.32612708351902,4963.6
2,31,technician,single,professional.course,no,unknown,yes,telephone,may,thu,308,11,999,6,nonexistent,-1.0857624650319666,93.32720698630109,-32.44478525721726,3.045997351860196,4963.6
3,63,self-employed,married,professional.course,no,no,unknown,cellular,mar,tue,2926,17,999,5,success,-1.8148453372199056,92.6419231148239,-43.689509635368644,3.226152039074404,4963.6
4,66,management,single,basic.6y,yes,unknown,unknown,cellular,dec,tue,2455,28,999,0,nonexistent,-2.5010942171975667,94.01272636754443,-37.47626607273666,4.899510256867379,4963.6
5,21,housemaid,single,basic.9y,no,no,unknown,cellular,dec,fri,1017,10,999,3,failure,-1.7007814367570397,92.24377383008215,-32.2551108481959,2.4046023180703333,5008.7
6,26,housemaid,divorced,professional.course,no,yes,yes,cellular,apr,thu,856,13,999,2,failure,-2.3299600447028483,94.2270703258038,-36.74014682211487,2.864534637764079,5191.0
7,37,blue-collar,married,basic.6y,unknown,yes,yes,telephone,nov,mon,2975,26,999,5,failure,-1.0581506730453452,93.82087914498847,-35.33896315664881,2.6906158178552055,5228.1
8,77,technician,unknown,basic.6y,no,yes,no,cellular,apr,mon,4014,9,999,2,failure,-3.2909300546144276,93.59666793545627,-36.45652158497947,4.251409343512752,5076.2
9,21,management,single,basic.4y,yes,yes,unknown,cellular,jun,tue,4366,26,999,2,failure,-1.8203441741134445,93.51294592364184,-37.31959365367652,3.0465152202066337,5228.1
10,28,blue-collar,divorced,basic.6y,yes,yes,unknown,telephone,may,fri,3030,41,999,0,nonexistent,-0.6388369476940716,93.55441044832095,-28.409235541568634,0.6549079937028529,5099.1
11,17,management,divorced,basic.6y,no,yes,yes,cellular,apr,tue,3952,14,999,6,success,-1.279487296081367,93.24877364198576,-36.20511116287173,1.9322174487199861,5023.5
12,76,student,single,basic.4y,yes,yes,yes,cellular,jun,fri,3379,20,999,6,failure,-2.5478807101307046,93.72201155937931,-42.6364090304813,2.3071309915359333,5076.2
13,67,unemployed,divorced,basic.6y,no,no,unknown,telephone,jul,tue,3856,22,999,3,success,-1.226045328778953,92.64867316656631,-46.882353308279974,3.8939948769582493,4991.6
14,42,management,single,professional.course,yes,no,yes,telephone,aug,wed,4680,30,999,4,success,0.8592771187737775,94.12591465864116,-36.69759659019377,0.7777410172949744,5017.5
15,22,housemaid,married,professional.course,no,no,yes,telephone,sep,tue,4433,25,999,1,failure,-2.187632906221207,92.25260239773799,-34.997364050504146,3.2877963075671994,5099.1
16,42,retired,married,high.school,yes,unknown,unknown,telephone,dec,tue,2880,46,999,4,failure,-2.0918764712313007,92.53088583164764,-30.898001035490832,1.6483024796277017,4991.6
17,71,retired,married,high.school,no,yes,yes,cellular,jul,wed,1782,11,999,4,success,-0.8056097420011104,93.71512892367687,-49.848290770070975,5.042285699423685,5023.5
18,31,management,divorced,illiterate,unknown,yes,unknown,telephone,oct,thu,1213,28,999,2,nonexistent,-1.9137700164718605,92.27108880677761,-36.48931680180716,3.752601181233068,5195.8
19,52,technician,unknown,basic.4y,yes,no,no,cellular,aug,tue,3019,9,999,1,success,0.6935744846449405,93.69040174528395,-39.88879735029494,4.41030233828211,5191.0
20,26,self-employed,unknown,high.school,no,unknown,no,cellular,apr,mon,2534,5,999,2,nonexistent,-2.0073118910935985,93.40959830154947,-27.48782795686306,2.6074080326479177,4963.6
21,61,technician,divorced,basic.6y,yes,unknown,no,telephone,aug,thu,658,39,999,1,nonexistent,-2.00476640833755,94.1673196676957,-46.66744102807203,1.576445549547525,5228.1
22,54,student,divorced,university.degree,unknown,no,unknown,cellular,nov,fri,3997,22,999,2,success,1.1346942674386429,92.48153613301682,-33.01352708876789,2.9355288690009664,4991.6
23,25,unemployed,divorced,illiterate,no,no,yes,telephone,dec,thu,3121,36,999,5,nonexistent,-2.5576954637807705,94.75299148299388,-31.51118978320301,4.752749347156912,5008.7
24,43,unemployed,unknown,high.school,yes,yes,yes,cellular,aug,wed,535,13,999,4,nonexistent,-1.1050995019784038,93.85419872508521,-46.91400767172139,2.0201394621967026,5191.0
25,35,self-employed,single,basic.9y,yes,no,no,cellular,jun,thu,2356,39,999,6,nonexistent,-1.7198155941915059,93.18851537754493,-33.4456127151704,4.643178175031953,5176.3
26,36,technician,married,university.degree,unknown,unknown,no,telephone,oct,mon,4008,19,999,2,nonexistent,-0.5349194700520892,92.25623706178511,-37.612220656139314,4.935440647354207,4991.6
27,32,admin.,divorced,university.degree,yes,unknown,unknown,cellular,dec,wed,1485,13,999,2,nonexistent,-1.1318736335446742,94.41212779536208,-39.028592976809854,4.921627690962755,5195.8
28,55,entrepreneur,unknown,basic.4y,unknown,no,yes,cellular,jul,mon,3096,34,999,2,failure,-2.636832660872119,92.52013739456754,-32.73435995171394,4.028987545727537,5195.8
29,29,self-employed,married,high.school,no,unknown,unknown,cellular,sep,fri,3479,2,999,3,success,-3.283851353040189,94.05050702233451,-48.888042503480875,1.8448307531415522,5076.2
30,77,management,married,professional.course,yes,yes,no,cellular,apr,thu,3781,42,999,0,nonexistent,-2.28283318985515,92.31310662737495,-45.95769301515074,2.4324941390668817,4991.6
31,56,entrepreneur,divorced,basic.9y,yes,yes,unknown,telephone,jun,tue,114,49,999,0,nonexistent,1.0680474071273074,94.05097121638853,-30.603868532285855,4.33286577208445,5008.7
32,72,housemaid,unknown,illiterate,no,unknown,unknown,cellular,sep,wed,1417,5,999,5,nonexistent,1.2349820012563675,93.63536961801131,-49.686783510636076,3.028773030463088,5176.3
33,50,housemaid,married,illiterate,no,no,yes,cellular,nov,fri,2504,1,999,6,failure,-2.023919364479929,93.5938974365909,-37.47386688568921,1.4957016180473066,5008.7
34,41,unemployed,divorced,illiterate,unknown,yes,unknown,cellular,sep,thu,180,26,999,4,success,-2.149739381172531,93.68062811478022,-50.54622173359442,2.702873808098649,5191.0
35,57,management,unknown,university.degree,no,yes,yes,telephone,jun,fri,1109,41,999,5,nonexistent,1.0505288860543103,93.39124363076321,-35.384829958814855,1.13683451821633,4991.6
36,76,management,unknown,university.degree,unknown,unknown,unknown,telephone,aug,tue,109,39,999,3,failure,-1.3483254808878944,93.51959380515596,-40.60641470566066,5.0177368674497425,5228.1
37,40,self-employed,single,basic.6y,yes,no,no,telephone,oct,fri,2156,24,999,0,success,0.07244185680028448,94.25800313473721,-47.405418429318814,4.652601925620392,5008.7
38,23,management,divorced,basic.4y,yes,no,no,cellular,jul,tue,2722,2,999,5,nonexistent,-3.125725280456029,94.10468455251454,-29.186995661506117,1.3760605616561188,5076.2
